type,description,risk,recommendations
stress,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
stress,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fever,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
stress,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
stress,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fever,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
stress,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fever,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Very low energy and feeling sick all day,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
stress,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fever,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fever,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
fever,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
stress,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fever,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
stress,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fever,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fever,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
stress,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
fever,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
weakness,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
stress,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
stress,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
stress,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
fatigue,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,I sleep well and wake up fresh,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fever,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
sleep_issue,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
weakness,Body feels slightly exhausted,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
stress,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fever,"I feel very weak, dizzy and unable to work",high,Consult doctor|Immediate rest|Medical attention needed
fever,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
stress,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Occasional dizziness and low energy,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
weakness,I have good energy and no health issues,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,Feeling a bit weak but still working,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fever,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fever,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fever,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fatigue,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
sleep_issue,Severe fatigue and constant tiredness,high,Consult doctor|Immediate rest|Medical attention needed
fatigue,I feel energetic and active throughout the day,low,Maintain routine|Stay hydrated|Exercise daily
weakness,Chest pain and breathing difficulty,high,Consult doctor|Immediate rest|Medical attention needed
fever,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
weakness,I feel strong and productive,low,Maintain routine|Stay hydrated|Exercise daily
weakness,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,I have mild headache and stress,medium,Reduce stress|Take proper sleep|Light exercise
anxiety,Sleep is irregular and not very good,medium,Reduce stress|Take proper sleep|Light exercise
fever,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
fever,I am completely fine and healthy,low,Maintain routine|Stay hydrated|Exercise daily
stress,Stress is affecting my focus,medium,Reduce stress|Take proper sleep|Light exercise
fever,"No symptoms, feeling great today",low,Maintain routine|Stay hydrated|Exercise daily
sleep_issue,Everything feels normal and good,low,Maintain routine|Stay hydrated|Exercise daily
anxiety,High fever with body pain and weakness,high,Consult doctor|Immediate rest|Medical attention needed
fever,Severe headache and extreme stress,high,Consult doctor|Immediate rest|Medical attention needed
anxiety,I am not able to sleep and feel exhausted,high,Consult doctor|Immediate rest|Medical attention needed
